time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,1,1,0,0
2023-12-05 00:00:00+00:00,0,0,1,1
2023-12-06 00:00:00+00:00,0,0,1,1
2023-12-07 00:00:00+00:00,2,2,9,2
2023-12-12 00:00:00+00:00,0,0,2,2
2023-12-13 00:00:00+00:00,1,1,0,0
2023-12-24 00:00:00+00:00,1,1,0,0
2023-12-26 00:00:00+00:00,0,0,14,1
2023-12-29 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,1,1
2024-01-03 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,2,2
2024-01-10 00:00:00+00:00,0,0,1,1
2024-01-11 00:00:00+00:00,0,0,1,1
2024-01-12 00:00:00+00:00,0,0,23,2
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,0,0,1,1
2024-01-17 00:00:00+00:00,0,0,4,3
2024-01-19 00:00:00+00:00,0,0,3,2
